"case_number","date","year","month","time","date_time","crime_code","crime","block","street","type","beat","command","weapon","motivation","number_of_suspects","suspect","victim_count","victim_other","injury","suspect_race_0","suspect_race_1","suspect_race_2","suspect_sex_0","suspect_sex_1","suspect_sex_2","victim_race_0","victim_race_1","victim_race_2","victim_sex_0","victim_sex_1","victim_sex_2"
"16000456","2016-01-04","2016","1","2:00:00 AM","2016-01-04 02:00:00","243(D)M","Assault, No Weapon","500.0","G","St","523","Central","Hands, Fists, Feet","Race","3","Unknown","1","","Hospital","O","O","O","M","M","M","O","","","M","",""
"16001278","2016-01-10","2016","1","1:30:00 AM","2016-01-10 01:30:00","245A1","Assault, w/Weapon","3400.0","30th","St","813","Mid-City","Stick","Race","3","Unknown","1","","No Treat.","Unk","Unk","Unk","M","M","M","B","","","M","",""
"16004522","2016-01-31","2016","1","02:30:00","2016-01-31 02:30:00","594(B)(4)","Vandalism","1400.0","Imperial","Av","521","Central","Marker","Race","Unk","Unknown","2","","None","Unk","","","Unk","","","H","W","","F","M",""
"16005962","2016-02-09","2016","2","4:30:00 PM","2016-02-09 16:30:00","422.22(a)(4)","Threat, Phone Call","4100.0","Ute","Dr","116","Northern","Phone","Race","1","Known","1","","None","H","","","M","","","B","","","M","",""
"16005900","2016-02-10","2016","2","00:45:00","2016-02-10 00:45:00","417A1:M","Threat","100.0","University","Av","627","Western","Knife","Race","1","Unknown","2","","None","W","","","M","","","B","A","","M","F",""
"16006866","2016-02-16","2016","2","4:30:00 PM","2016-02-16 16:30:00","422.6","Vandalism","5800.0","University","Av","822","Mid-City","Paint","Race","Unk","Unknown","1","","None","Unk","","","Unk","","","B","","","M","",""
"16007286","2016-02-18","2016","2","20:43:00","2016-02-18 20:43:00","422.6","Threat","6200.0","Capri","Dr","323","Eastern","Phone","Religion","1","Unknown","1","","None","Unk","","","F","","","W","","","M","",""
"16008581","2016-02-26","2016","2","11:00:00 PM","2016-02-26 23:00:00","422.6","Vandalism","5400.0","Gilbert","Dr","326","Eastern","Unknown sharp object","Gender","Unk","Unknown","1","","None","Unk","","","Unk","","","I","","","M","",""
"16008340","2016-02-26","2016","2","5:25:00 PM","2016-02-26 17:25:00","422.6A","Assault, No Weapon","500.0","Euclid","Av","446","Southeastern","Hands, Fists, Feet","Race","1","Known","1","","No Treat.","B","","","M","","","H","","","F","",""
"16008751","2016-02-29","2016","2","04:00:00","2016-02-29 04:00:00","417A1:M","Threat","300.0","Park","Bl","521","Western","Knife","Race","1","Unknown","1","","None","H","","","M","","","B","","","M","",""
"16009905","2016-03-08","2016","3","8:26:00 PM","2016-03-08 20:26:00","422.6","Other","2200.0","Imperial","Av","512","Central","Knife","Race","1","Unknown","1","","None","B","","","M","","","W","","","M","",""
"16013490","2016-04-01","2016","4","9:50:00 PM","2016-04-01 21:50:00","422.6A","Threat, Phone Call","12800.0","Via Nieve #74","","934","Northwestern","Phone","Race","1","Known","1","","None","C","","","M","","","B","","","F","",""
"16015895","2016-04-17","2016","4","11:05:00 PM","2016-04-17 23:05:00","653M(A)","Threat, Phone Call","1600.0","Thomas Ave","Av","122","Northern","Phone","Religion","2","Unknown","1","","None","Unk","Unk","","Unk","Unk","","W","","","M","",""
"16017576","2016-04-26","2016","4","8:00:00 PM","2016-04-26 20:00:00","422.6B","Vandalism","500.0","Camino De La Reina #129","","315","Eastern","Spray Paint","Sexual Orientation","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"16018078","2016-04-30","2016","4","12:01:00 AM","2016-04-30 00:01:00","422","Other","6900.0","Sandleford","Wy","437","Southeastern","Facebook/computer","Gender","1","Known","1","","None","H","","","M","","","W","","","F","",""
"16020160","2016-05-13","2016","5","9:00:00 PM","2016-05-13 21:00:00","422.6B","Vandalism","500.0","Camino De La Reina","","315","Eastern","Spray Paint","Sexual Orientation","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"16021550","2016-05-23","2016","5","2:20:00 PM","2016-05-23 14:20:00","422.6A","Other","","I-8/Alvarado Canyon","","321","Eastern","Verbal","Race","1","Unknown","1","","None","W","","","M","","","B","","","M","",""
"16023023","2016-05-23","2016","5","11:30:00 PM","2016-05-23 23:30:00","245A1","Assault, No Weapon","3500.0","Sports Arena","Bl","611","Western","Hands, Fists, Feet","Sexual Orientation","2","Unknown","1","","Hospital","H","H","","M","M","","W","","","M","",""
"16023668","2016-06-05","2016","6","12:30:00","2016-06-05 12:30:00","211","Robbery","6200.0","University","Av","821","Mid City","Hands, Fists, Feet","Sexual Orientation","1","Unknown","1","","No Treat.","B","","","M","","","W","","","M","",""
"16024587","2016-06-11","2016","6","10:30:00","2016-06-11 10:30:00","245A1","Assault, w/Weapon","4100.0","Fairmount","Av","831","Eastern","Rod","Race","3","Unknown","1","","Hospital","A","A","A","M","M","M","B","","","M","",""
"16025303","2016-06-16","2016","6","09:41:00","2016-06-16 09:41:00","245A","Assault, w/Weapon","5300.0","Orange ","Av","826","Mid-City","Bottle","Race","3","Known","1","","None","B","B","B","M","M","M","H","","","M","",""
"16026441","2016-06-18","2016","6","14:00:00","2016-06-18 14:00:00","422:F","Threat","300.0","University","Av","627","Western","Verbal","Race","1","Known","1","Restaurant","None","W","","","M","","","W","","","M","",""
"16025550","2016-06-18","2016","6","12:00:00","2016-06-18 12:00:00","422.6","Other","7000.0","Eckstrom","Av","111","Northern","Mail","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","F","",""
"16028219","2016-07-06","2016","7","14:15:00","2016-07-06 14:15:00","211","Robbery","3500.0","Main","St","511","Central","Knife","Sexual Orientation","1","Unknown","1","","None","H","","","M","","","H","","","M","",""
"16028646","2016-07-09","2016","7","05:30:00","2016-07-09 05:30:00","422.7(A)","Battery","1800.0","Titus","St","626","Western","Hands, Fists, Feet","Sexual Orientation","1","Known","1","","Treated","W","","","M","","","H","","","M","",""
"16029933","2016-07-16","2016","7","13:00:00","2016-07-16 13:00:00","422A","Other","7000.0","Eckstrom","Av","111","Northern","Mail","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"16029806","2016-07-17","2016","7","16:00:00","2016-07-17 16:00:00","422.6A","Vandalism","11000.0","Pegasus","Av","242","Northeastern","Spray Paint","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","H","","","M","",""
"16033533","2016-07-31","2016","7","11:00:00","2016-07-31 11:00:00","422.M","Threat","5800.0","Copley","Dr","313","Eastern","Verbal","Race","1","Unknown","2","","None","W","","","M","","","A","B","","F","M",""
"16032832","2016-08-08","2016","8","15:00:00","2016-08-08 15:00:00","245A1","Assault, w/Weapon","2200.0","Imperial","Av","514","Central","Knife","Race","1","Known","1","","Hospital","W","","","M","","","B","","","M","",""
"16033890","2016-08-11","2016","8","18:00:00","2016-08-11 18:00:00","459","Burglary","6400.0","Reflection","Dr","321","Eastern","Marker","Race","Unk","Unknown","1","","None","Unk","","","Unk","","","B","","","F","",""
"16036850","2016-09-05","2016","9","22:47:00","2016-09-05 22:47:00","245A1","Assault, w/Weapon","6300.0","College Grove","Av","451","Southeastern","Knife","Sexual Orientation","1","Unknown","1","","Treated","Unk","","","M","","","W","","","M","",""
"16037460","2016-09-09","2016","9","22:20:00","2016-09-09 22:20:00","211F","Robbery","300.0","32nd","St","516","Central","Hands, Fists, Feet","Sexual Orientation","3","Unknown","1","","No Treat.","H","H","H","M","M","M","H","","","M","",""
"16039755","2016-09-22","2016","9","22:00:00","2016-09-22 22:00:00","422.6B","Vandalism","2400.0","Dusk","Dr","437","Southeastern","Spray Paint","Sexual Orientation","Unk","Unknown","1","","None","Unk","","","Unk","","","E","","","F","",""
"16041342","2016-10-07","2016","10","01:00:00","2016-10-07 01:00:00","242","Assault, No Weapon","4000.0","04th","Av","627","Western","Hands, Fists, Feet","Sexual Orientation","6","Unknown","1","","No Treat.","H","H","H","M","M","M","O","","","M","",""
"16046232","2016-10-21","2016","10","20:00:00","2016-10-21 20:00:00","594(B)(2)A","Vandalism","300.0","32nd","St","512","Central","Spray Paint","Religion","Unk","Unknown","1","Church","None","Unk","","","Unk","","","","","","","",""
"16044681","2016-10-30","2016","10","15:44:00","2016-10-30 15:44:00","245(A)(1)","Assault, No Weapon","5900.0","University","Av","823","MidCity","Hands, Fists, Feet","Religion","3","Known","1","","Treated","W","W","W","M","M","M","O","","","M","",""
"16044826","2016-10-31","2016","10","12:45:00","2016-10-31 12:45:00","243A","Assault, No Weapon","3800.0","Rosecrans","St","611","Western","Hands, Fists, Feet","Race","1","Known","1","","No Treat.","W","","","M","","","B","","","M","",""
"16046131","2016-11-08","2016","11","21:00:00","2016-11-08 21:00:00","243A","Assault, No Weapon","1400.0","University","Av","627","Western","Egg","Sexual Orientation","2","Unknown","1","","None","Unk","Unk","","M","M","","W","","","M","",""
"16047409","2016-11-11","2016","11","07:00:00","2016-11-11 07:00:00","422.6","Threat, Phone Call","4900.0","Ariva","Wy","313","Eastern","Phone","Sexual Orientation","1","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
"16046634","2016-11-13","2016","11","16:10:00","2016-11-13 16:10:00","422.6","Assault, w/Weapon","3900.0","Landis","St","839","Mid-City","Pepper Spray","Race","1","Unknown","2","","Treated","B","","","F","","","H","H","","F","M",""
"16046655","2016-11-13","2016","11","13:30:00","2016-11-13 13:30:00","594(A):F","Vandalism","6900.0","Golfcrest","Dr","324","Eastern","Other","Race","Unk","Unknown","1","","None","Unk","","","Unk","","","B","","","M","",""
"16046909","2016-11-15","2016","11","12:00:00","2016-11-15 12:00:00","422.6","Other","7000.0","Eckstrom","Av","111","Northern","Mail","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","F","",""
"16047848","2016-11-21","2016","11","19:00:00","2016-11-21 19:00:00","594A","Vandalism","13100.0","Sandown","Wy","934","Northwestern","Marker","Religion","Unk","Unknown","2","","None","Unk","","","Unk","","","W","W","","M","M",""
"16048134","2016-11-24","2016","11","17:00:00","2016-11-24 17:00:00","422.6","Vandalism","3000.0","C","St","517","Central","Fire Extinguisher","Race","Unk","Unknown","1","","None","Unk","","","Unk","","","B","","","F","",""
"16048288","2016-11-26","2016","11","09:00:00","2016-11-26 09:00:00","422.6","Other","2800.0","Dewey","Rd","611","Western","Marker","Race","Unk","Unknown","1","","None","Unk","","","Unk","","","H","","","F","",""
"16049989","2016-12-07","2016","12","07:00:00","2016-12-07 07:00:00","422.6","Other","2100.0","Via Nina","","124","Northern","Hands, Fists, Feet","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","A","","","M","",""
"16050641","2016-12-12","2016","12","18:20:00","2016-12-12 18:20:00","242","Simple Assault","5700.0","Beaumont ","Ave","124","Northern","Hands, Fists, Feet","Sexual Orientation","5","Unknown","1","","No Treat.","W","W","W","M","M","M","A","","","M","",""
"16052116","2016-12-25","2016","12","13:00:00","2016-12-25 13:00:00","243A","Assault, No Weapon","2200.0","Morley Field","Dr","531","Central","Hands, Fists, Feet","Sexual Orientation","1","Unknown","1","","Hospital","W","","","M","","","W","","","F","",""
"17034249","2017-01-01","2017","1","00:00:00","2017-01-01 00:00:00","594 (A): F","Vandalism","3800.0","Edna","Pl","811","Mid-City","Other","Race","Unk","Unknown","1","","None","Unk","","","Unk","","","O","","","F","",""
"17000639","2017-01-05","2017","1","1901-03-27 04:52:00","2018-04-02 04:52:00","245A","Assault, w/Weapon","3800.0","Boundary ","St","813","Mid-City","Vehicle","Sexual Orientation","1","Unknown","1","","None","H","","","M","","","H","","","F","",""
"17001022","2017-01-08","2017","1","19:50:00","2017-01-08 19:50:00","245A","Assault, No Weapon","2500.0","L","St","515","Central","Hands, Fists, Feet","Sexual Orientation","4","Unknown","1","","Treated","Unk","Unk","Unk","M","M","M","H","","","M","",""
"17004008","2017-01-29","2017","1","19:00:00","2017-01-29 19:00:00","594B(2)(A)","Vandalism","4700.0","Jewell","St","122","Northern","Other","Religion","Unk","Unknown","1","","None","Unk","","","Unk","","","B","","","M","",""
"17004125","2017-01-31","2017","1","08:57:00","2017-01-31 08:57:00","148.1A","Bomb Threat","4100.0","Executive ","Dr","115","Northern","Phone","Religion","Unk","Unknown","1","Temple","None","Unk","","","Unk","","","H","","","F","",""
"17004273","2017-02-01","2017","2","07:30:00","2017-02-01 07:30:00","243D M","Assault, No Weapon","2200.0","Barney","St","437","Southeastern","Hands, Fists, Feet","Race","1","Unknown","1","","Hospital","W","","","M","","","F","","","M","",""
"17005240","2017-02-07","2017","2","19:00:00","2017-02-07 19:00:00","422.6","Assault, No Weapon","1200.0","K ","St","521","Central","Hands, Fists, Feet","Gender","1","Unknown","1","","Treated","B","","","F","","","H","","","F","",""
"17006219","2017-02-14","2017","2","15:27:00","2017-02-14 15:27:00","245 (A)","Assault, w/Weapon","200.0","Park","Bl","541","Central","Cane","Race","1","Unknown","1","","None","W","","","M","","","O","","","M","",""
"17007116","2017-02-20","2017","2","22:38:00","2017-02-20 22:38:00","148.1 (A)","Bomb Threat","4100.0","Executive ","Dr","115","Northern","Email","Religion","Unk","Unknown","1","Temple","None","Unk","","","Unk","","","H","","","M","",""
"17007667","2017-02-24","2017","2","06:00:00","2017-02-24 06:00:00","594 (B)(4)","Vandalism","4400.0","41st ","St","825","Mid-City","Spray Paint","Sexual Orientation","Unk","Unknown","2","","None","Unk","","","Unk","","","W","W","","M","M",""
"17008023","2017-02-27","2017","2","16:33:00","2017-02-27 16:33:00","148.1 (A)","Bomb Threat","4100.0","Executive ","Dr","115","Northern","Phone","Religion","Unk","Unknown","1","Temple","None","Unk","","","Unk","","","W","","","M","",""
"17008509","2017-03-02","2017","3","19:00:00","2017-03-02 19:00:00","422(A)","Other","4700.0","Imperial","Ave","446","Southeastern","Facebook/computer","Race","Unk","Unknown","1","High School","None","Unk","","","Unk","","","H","","","F","",""
"17009294","2017-03-07","2017","3","21:00:00","2017-03-07 21:00:00","148.1(C )","Bomb Threat","4100.0","Executive ","Dr","115","Northern","Phone","Religion","Unk","Unknown","1","Temple","None","Unk","","","Unk","","","H","","","F","",""
"17010162","2017-03-13","2017","3","16:15:00","2017-03-13 16:15:00","653M","Threat, Phone Call","4900.0","Murphy Canyon","Rd","313","Eastern","Phone","Religion","Unk","Unknown","1","Business","None","Unk","","","Unk","","","W","","","F","",""
"17010421","2017-03-15","2017","3","22:30:00","2017-03-15 22:30:00","653M(A)","Threat, Phone Call","3000.0","North Park","Wy","813","Mid-City","Phone","Sexual Orientation","Unk","Unknown","1","Bar","None","Unk","","","Unk","","","H","","","M","",""
"17010649","2017-03-17","2017","3","14:30:00","2017-03-17 14:30:00","243(D)F","Assault, No Weapon","6600.0","Carmel Valley","Rd","935","Northwestern","Hands, Fists, Feet","Sexual Orientation","1","Known","1","","Hospital","B","","","M","","","W","","","F","",""
"17013196","2017-03-22","2017","3","18:07:00","2017-03-22 18:07:00","653M","Threat, Phone Call","7700.0","Balboa","Ave","313","Eastern","Phone","Race","Unk","Unknown","1","Business","None","Unk","","","M","","","W","","","F","",""
"17013704","2017-04-07","2017","4","20:45:00","2017-04-07 20:45:00","243A","Assault, No Weapon","1000.0","04th ","Ave","524","Central","Hands, Fists, Feet","Religion","1","Unknown","1","","None","H","","","M","","","B","","","M","",""
"17015184","2017-04-15","2017","4","14:00:00","2017-04-15 14:00:00","594(A)","Vandalism","3700.0","30th ","St","813","Mid-City","Spray Paint","Religion","Unk","Unknown","1","Business","None","Unk","","","Unk","","","","","","","",""
"17014768","2017-04-15","2017","4","19:37:00","2017-04-15 19:37:00","245(a)(1)","Assault, w/Weapon","0.0","24th ","St","512","Central","Stick","Race","1","Unknown","1","","Hospital","H","","","M","","","B","","","M","",""
"17015573","2017-04-20","2017","4","16:00:00","2017-04-20 16:00:00","459F & 594","Burglary","5400.0","Lea","St","822","Mid-City","Spray Paint","Race","Unk","Unknown","1","Business","None","Unk","","","Unk","","","B","","","F","",""
"17016020","2017-04-23","2017","4","00:10:00","2017-04-23 00:10:00","245A1","Assault, w/Weapon","1100.0","A","St","521","Central","Cane","Race","1","Unknown","1","","Hospital","H","","","M","","","B","","","M","",""
"17015940","2017-04-23","2017","4","18:30:00","2017-04-23 18:30:00","242 M","Assault, No Weapon","11500.0","Caminito La Bar","","242","Northeastern","Hands, Fists, Feet","Race","1","Unknown","1","","None","W","","","M","","","B","","","F","",""
"17017611","2017-05-04","2017","5","14:30:00","2017-05-04 14:30:00","594B(2)(A)","Vandalism","4200.0","Swift","Ave","838","Mid-City","Marker","Race","Unk","Unknown","2","","None","Unk","","","Unk","","","B","B","","F","M",""
"17019690","2017-05-19","2017","5","21:00:00","2017-05-19 21:00:00","594","Vandalism","4700.0","Fairport","Way","934","Northwestern","Marker","Race","Unk","Unknown","1","Business","None","Unk","","","Unk","","","B","","","F","",""
"17019750","2017-05-20","2017","5","17:50:00","2017-05-20 17:50:00","422","Threat, Phone Call","700.0","A","St","524","Central","Phone","Sexual Orientation","Unk","Unknown","2","","None","Unk","","","M","","","H","W","","M","F",""
"17022660","2017-05-21","2017","5","00:30:00","2017-05-21 00:30:00","422.6A","Threat, Phone Call","1600.0","Polk","Ave","624","Mid-City","Phone","Sexual Orientation","Unk","Unknown","1","","None","Unk","","","Unk","","","W","","","M","",""
